username,linkedinUrl,githubUrl,country,currentRating
kkgg3781,https://linkedin.com/in/james-kim-3b70371b4,https://github.com/rodroadl,United States,1881.241
zhangxc2017,https://linkedin.com/in/xuecheng-zhang-41922814b,,United States,1880.994
Chlerry,,https://github.com/Chlerry,United States,1880.729
beeti,https://linkedin.com/in/sushruthbeeti,https://github.com/beetisushruth,United States,1880.363
akshar24,,https://github.com/akshar2401,United States,1880.2502894603588
doaj666,,https://github.com/hongjic,United States,1880.071
hikoship,,https://github.com/hikoship,United States,1879.6921197556144
RigvedManoj,https://linkedin.com/in/rigvedmanoj,https://github.com/RigvedManoj,United States,1879.442035235318
Jerrypoi,,https://github.com/Jerrypoi,United States,1878.849189898623
Ruixiao_Duan,,https://github.com/DuanRuixiao,United States,1878.749
mcolen,,https://github.com/mcolen,United States,1878.429
lillia,,https://github.com/yiweny,United States,1878.197
kunal_kishore,,https://github.com/kunal-ucla,United States,1877.9797791892345
dev1ce_,,https://github.com/mathczh,United States,1877.977
pridek0912,,https://github.com/pridek0912,United States,1877.798
ruo302543,https://linkedin.com/in/z,https://github.com/ruo2019,United States,1877.757642728858
akk5597,,https://github.com/akk5597,United States,1877.555
Rakesh-S-Kadaba,https://linkedin.com/in/rakesh-kadaba,,United States,1877.239
riwu,,https://github.com/riwu,United States,1876.8202892163847
Teveillan,,https://github.com/Teveillan,United States,1876.707
xiaoxia42,https://linkedin.com/in/xiao-xia-4b8a471a6,https://github.com/xiaoxia42,United States,1876.7
renzhang88,,https://github.com/ryancheunggit,United States,1876.641
SilverCHN,,https://github.com/SianXiaoCHN,United States,1876.615
ppttzhu,,https://github.com/ppttzhu,United States,1876.047
tinawu,,https://github.com/tinawu98,United States,1875.928
masonc08,,https://github.com/masonc08,United States,1875.88
nick1e,,https://github.com/-,United States,1875.603
Harshith_PM,https://linkedin.com/in/harshith-pokala-muni,https://github.com/PM-Harshith,United States,1875.4129731601531
yinghuahu,,https://github.com/yinghua-hu,United States,1875.154933010233
keylovett,https://linkedin.com/in/ericxiechangle,https://github.com/EricXied,United States,1874.9387947942264
HeroKillerEver,,https://github.com/HeroKillerEver,United States,1874.5909095443417
evenstars,,https://github.com/evenstars,United States,1874.495
thoang3,,https://github.com/thoang3,United States,1874.138
jessie_llj,https://linkedin.com/in/---,https://github.com/---,United States,1874.015
anujkum,,https://github.com/anujkumar93,United States,1873.609
thomaszwinger,https://linkedin.com/in/thomaszwinger,https://github.com/zwingthomas,United States,1873.2235808345465
Vintersosa,https://linkedin.com/in/vinayak-gupta-bits,https://github.com/Vinter0212,United States,1873.0396946923486
yizhiyan1992,,https://github.com/yizhiyan1992,United States,1872.897
Lisanaaa,,https://github.com/Lisanaaa,United States,1872.25
danielzhaowise,,https://github.com/dongyu-zhao,United States,1871.845
TonyCao7,,https://github.com/Xutao-Cao,United States,1871.6421572415995
lkstc112233,,https://github.com/lkstc112233,United States,1871.571
FermiDirak,,https://github.com/FermiDirak,United States,1871.519
cjydd001,,https://github.com/cjydd001,United States,1871.439
Blake_Han12,https://linkedin.com/in/blake-han,https://github.com/BlakeHan01,United States,1870.474
xrxiao,,https://github.com/xrxiao,United States,1870.282849224437
AndriyLu,https://linkedin.com/in/andriyluchko,https://github.com/Andriy-Luchko,United States,1870.2160984878494
TianjuZhou,,https://github.com/TJZhou,United States,1869.786
Changxu_Ren,,https://github.com/ChangxuRen-github,United States,1869.075
umar8627,https://linkedin.com/in/umar8627,https://github.com/Umar-8627,United States,1868.5378481473529
coding_fred,,https://github.com/yinfredyue,United States,1868.525
_tgujar,https://linkedin.com/in/tgujar,https://github.com/tgujar,United States,1867.755
21eleven,,https://github.com/21eleven,United States,1867.503
wangdi814,,https://github.com/di-wendy,United States,1867.488
noFishSushi,,https://github.com/HongWeiChen0,United States,1867.4429946771559
superjenny,,https://github.com/chasforbeter,United States,1865.524
